timestamp,phase_A_voltage,phase_B_voltage,phase_C_voltage,line_current,frequency,power_factor,thd_percent
0.000000,0.000000,281.458256,-281.458256,3.000000,50.000000,0.950000,2.000000
0.000200,20.406919,270.699403,-291.106322,3.031395,50.000063,0.950013,2.000188
0.000400,40.733301,258.872223,-299.605524,3.062667,50.000126,0.950025,2.000377
0.000600,60.898927,246.023393,-306.922320,3.093691,50.000188,0.950038,2.000565
0.000800,80.824213,232.203621,-313.027834,3.124345,50.000251,0.950050,2.000754
0.001000,100.430523,217.467447,-317.897970,3.154508,50.000314,0.950063,2.000942
0.001200,119.640480,201.873029,-321.513508,3.184062,50.000377,0.950075,2.001131
0.001400,138.378270,185.481909,-323.860179,3.212890,50.000440,0.950088,2.001319
0.001600,156.569944,168.358778,-324.928722,3.240877,50.000503,0.950101,2.001508
0.001800,174.143708,150.571211,-324.714920,3.267913,50.000565,0.950113,2.001696
0.002000,191.030207,132.189409,-323.219616,3.293893,50.000628,0.950126,2.001885
0.002200,207.162797,113.285915,-320.448712,3.318712,50.000691,0.950138,2.002073
0.002400,222.477809,93.935334,-316.413143,3.342274,50.000754,0.950151,2.002262
0.002600,236.914804,74.214033,-311.128837,3.364484,50.000817,0.950163,2.002450
0.002800,250.416804,54.199843,-304.616647,3.385257,50.000880,0.950176,2.002639
0.003000,262.930523,33.971751,-296.902274,3.404508,50.000942,0.950188,2.002827
0.003200,274.406576,13.609587,-288.016163,3.422164,50.001005,0.950201,2.003016
0.003400,284.799671,-6.806286,-277.993385,3.438153,50.001068,0.950214,2.003204
0.003600,294.068792,-27.195299,-266.873493,3.452414,50.001131,0.950226,2.003393
0.003800,302.177358,-47.476984,-254.700374,3.464888,50.001194,0.950239,2.003581
0.004000,309.093368,-67.571300,-241.522068,3.475528,50.001257,0.950251,2.003770
0.004200,314.789527,-87.398942,-227.390586,3.484292,50.001319,0.950264,2.003958
0.004400,319.243356,-106.881660,-212.361696,3.491144,50.001382,0.950276,2.004147
0.004600,322.437278,-125.942566,-196.494712,3.496057,50.001445,0.950289,2.004335
0.004800,324.358687,-144.506433,-179.852254,3.499013,50.001508,0.950302,2.004524
0.005000,325.000000,-162.500000,-162.500000,3.500000,50.001571,0.950314,2.004712
0.005200,324.358687,-179.852254,-144.506433,3.499013,50.001633,0.950327,2.004901
0.005400,322.437278,-196.494712,-125.942566,3.496057,50.001696,0.950339,2.005089
0.005600,319.243356,-212.361696,-106.881660,3.491144,50.001759,0.950352,2.005278
0.005800,314.789527,-227.390586,-87.398942,3.484292,50.001822,0.950364,2.005466
0.006000,309.093368,-241.522068,-67.571300,3.475528,50.001885,0.950377,2.005655
0.006200,302.177358,-254.700374,-47.476984,3.464888,50.001947,0.950390,2.005843
